# Name                  X     Y     W     H
RedLeft                 0     81    81    798
RedLeftTopEdge          0     0     81    81
RedLeftBottomEdge       0     879   81    81
RedRight                81    81    81    798
RedRightTopEdge         81    0     81    81
RedRightBottomEdge      81    879   81    81
RedTop                  162   81    81    378
RedTopTopEdge           162   0     81    81
RedTopBottomEdge        162   459   81    81
RedBottom               243   81    81    378
RedBottomTopEdge        243   0     81    81
RedBottomBottomEdge     243   459   81    81
BlueLeft                324   81    81    798
BlueLeftTopEdge         324   0     81    81
BlueLeftBottomEdge      324   879   81    81
BlueRight               405   81    81    798
BlueRightTopEdge        405   0     81    81
BlueRightBottomEdge     405   879   81    81
BlueTop                 486   81    81    378
BlueTopTopEdge          486   0     81    81
BlueTopBottomEdge       486   459   81    81
BlueBottom              567   81    81    378
BlueBottomTopEdge       567   0     81    81
BlueBottomBottomEdge    567   459   81    81
GreenLeft               648   81    81    798
GreenLeftTopEdge        648   0     81    81
GreenLeftBottomEdge     648   879   81    81
GreenRight              729   81    81    798
GreenRightTopEdge       729   0     81    81
GreenRightBottomEdge    729   879   81    81
GreenTop                810   81    81    378
GreenTopTopEdge         810   0     81    81
GreenTopBottomEdge      810   459   81    81
GreenBottom             891   81    81    378
GreenBottomTopEdge      891   0     81    81
GreenBottomBottomEdge   891   459   81    81
OrangeLeft              972   81    81    798
OrangeLeftTopEdge       972   0     81    81
OrangeLeftBottomEdge    972   879   81    81
OrangeRight             1053  81    81    798
OrangeRightTopEdge      1053  0     81    81
OrangeRightBottomEdge   1053  879   81    81
OrangeTop               1134  81    81    378
OrangeTopTopEdge        1134  0     81    81
OrangeTopBottomEdge     1134  459   81    81
OrangeBottom            1215  81    81    378
OrangeBottomTopEdge     1215  0     81    81
OrangeBottomBottomEdge  1215  459   81    81
PinkLeft                1296  81    81    798
PinkLeftTopEdge         1296  0     81    81
PinkLeftBottomEdge      1296  879   81    81
PinkRight               1377  81    81    798
PinkRightTopEdge        1377  0     81    81
PinkRightBottomEdge     1377  879   81    81
PinkTop                 1458  81    81    378
PinkTopTopEdge          1458  0     81    81
PinkTopBottomEdge       1458  459   81    81
PinkBottom              1539  81    81    378
PinkBottomTopEdge       1539  0     81    81
PinkBottomBottomEdge    1539  459   81    81
PurpleLeft              0     1041  81    798
PurpleLeftTopEdge       0     960   81    81
PurpleLeftBottomEdge    0     1839  81    81
PurpleRight             81    1041  81    798
PurpleRightTopEdge      81    960   81    81
PurpleRightBottomEdge   81    1839  81    81
PurpleTop               162   1041  81    378
PurpleTopTopEdge        162   960   81    81
PurpleTopBottomEdge     162   1419  81    81
PurpleBottom            243   1041  81    378
PurpleBottomTopEdge     243   960   81    81
PurpleBottomBottomEdge  243   1419  81    81
GrayLeft                324   1041  81    798
GrayLeftTopEdge         324   960   81    81
GrayLeftBottomEdge      324   1839  81    81
GrayRight               405   1041  81    798
GrayRightTopEdge        405   960   81    81
GrayRightBottomEdge     405   1839  81    81
GrayTop                 486   1041  81    378
GrayTopTopEdge          486   960   81    81
GrayTopBottomEdge       486   1419  81    81
GrayBottom              567   1041  81    378
GrayBottomTopEdge       567   960   81    81
GrayBottomBottomEdge    567   1419  81    81
CyanLeft                648   1041  81    798
CyanLeftTopEdge         648   960   81    81
CyanLeftBottomEdge      648   1839  81    81
CyanRight               729   1041  81    798
CyanRightTopEdge        729   960   81    81
CyanRightBottomEdge     729   1839  81    81
CyanTop                 810   1041  81    378
CyanTopTopEdge          810   960   81    81
CyanTopBottomEdge       810   1419  81    81
CyanBottom              891   1041  81    378
CyanBottomTopEdge       891   960   81    81
CyanBottomBottomEdge    891   1419  81    81
SalmonLeft              972   1041  81    798
SalmonLeftTopEdge       972   960   81    81
SalmonLeftBottomEdge    972   1839  81    81
SalmonRight             1053  1041  81    798
SalmonRightTopEdge      1053  960   81    81
SalmonRightBottomEdge   1053  1839  81    81
SalmonTop               1134  1041  81    378
SalmonTopTopEdge        1134  960   81    81
SalmonTopBottomEdge     1134  1419  81    81
SalmonBottom            1215  1041  81    378
SalmonBottomTopEdge     1215  960   81    81
SalmonBottomBottomEdge  1215  1419  81    81
FieldLeft               1296  1041  81    798
FieldLeftTopEdge        1296  960   81    81
FieldLeftBottomEdge     1296  1839  81    81
FieldRight              1377  1041  81    798
FieldRightTopEdge       1377  960   81    81
FieldRightBottomEdge    1377  1839  81    81
FieldTop                1458  1041  81    378
FieldTopTopEdge         1458  960   81    81
FieldTopBottomEdge      1458  1419  81    81
FieldBottom             1539  1041  81    378
FieldBottomTopEdge      1539  960   81    81
FieldBottomBottomEdge   1539  1419  81    81
